*,address_raw,city,state,zipcode,unit,property_type,bedrooms,bathrooms,sqft,rent,price_per_sqft,listing_url,K_Q_Overall,B_Q_Overall,Flooring_Q,Paint_Q,Lighting_Q,Window_Q,Appliance_Q,Quality_Score_100,K_Size_1_3,B_Size_1_3,B_Layout,Unit_Size_1_3_Auto,Size_Score_100,C_Balcony_Deck,C_Heating,C_AC,C_Washer_Dryer,C_Parking,C_Dishwasher,C_Microwave,C_Disposal,C_Hardwood,C_Updated_Kitchen,C_Updated_Bath,C_Outdoor_Space,Completeness_Score_100,WalkScore,TransitScore,BikeScore,Location_Score_100,Market_Score,Market_Grade,Luxury_Gap,Rent_per_Score,Opportunity_Flag,Notes,description_text
1,"9316 Oscar Ave, Oakland, CA 94603",Oakland,CA,94603,,apartment,2,1,700,"$2,000",$2.86,https://sfbay.craigslist.org/eby/apa/d/oakland-2bd-1ba-apt-remodeled-kitchen/7922796392.html,1,2,2,1,2,1,1,47.6,,,,2,66.7,,,,No,,No,,,No,No,No,,0.0,67,44,60,58.7,27.6,D,100.0,$72.41,Review,,
1,"1537 63rd Street, Berkeley, CA 94703",Berkeley,CA,94703,,apartment,2,1,970,"$2,875",$2.96,https://sfbay.craigslist.org/eby/apa/d/oakland-large-two-bedroom-one-bath/7921775493.html,2,2,2,3,2,2,2,71.4,,,,2,66.7,,,,Yes,Yes,No,,,No,Yes,Yes,,66.7,92,62,97,84.0,54.8,D,33.3,$52.50,Review,,
1,"22160 Center Street, Castro Valley, CA 94546",Castro Valley,CA,94546,,apartment,2,1,977,"$2,655",$2.72,https://sfbay.craigslist.org/eby/apa/d/hayward-dog-park-bd-ba-located-in/7921958093.html,3,3,2,3,2,2,3,85.7,,,,2,66.7,,,,No,,Yes,,,No,Yes,Yes,,60.0,71,38,42,55.3,57.0,C,40.0,$46.54,Review,,
1,"1211 Lincoln Ave #B, Alameda, CA 94501",Alameda,CA,94501,B,apartment,2,1,,"$2,650",,https://sfbay.craigslist.org/eby/apa/d/alameda-1211-lincoln-ave-bedroom-bath/7921043552.html,3,2,2,3,3,1,2,76.2,,,,,,Yes,,,Yes,No,Yes,,,No,Yes,Yes,Yes,75.0,82,48,81,71.6,56.7,C,25.0,$46.74,Review,,
1,"2134 Clinton Ave, Alameda, CA 94501",Alameda,CA,94501,,apartment,2,1,,"$2,950",,https://sfbay.craigslist.org/eby/apa/d/alameda-2134-clinton-ave-bedroom/7921072842.html,2,2,3,3,2,2,2,76.2,,,,,,Yes,,,Yes,Yes,Yes,,,Yes,No,No,Yes,75.0,80,48,70,68.4,56.7,C,25.0,$52.03,Review,,
1,"528 Merritt Ave #208, Oakland, CA 94610",Oakland,CA,94610,208,apartment,2,1,,"$2,850",,https://sfbay.craigslist.org/eby/apa/d/oakland-528-merritt-ave-bedroom-bath/7920834471.html,2,2,2,3,3,2,,77.8,,,,,,No,,,No,Yes,,,,No,,Yes,No,33.3,95,58,71,79.1,41.7,D,66.7,$68.40,Feature-completeness gap,,
1,"1517 Willow St, Alameda, CA 94501",Alameda,CA,94501,,apartment,2,1,,"$2,800",,https://sfbay.craigslist.org/eby/apa/d/oakland-1517-willow-st-bedroom-bath/7920797790.html,2,1,2,2,1,2,2,57.1,,,,,,Yes,,,Yes,Yes,No,,,Yes,No,No,Yes,62.5,91,50,77,75.9,44.9,D,37.5,$62.41,Review,,
1,"1724 Lincoln Ave #B, Alameda, CA 94501",Alameda,CA,94501,B,apartment,2,1,,"$2,250",,https://sfbay.craigslist.org/eby/apa/d/alameda-1724-lincoln-ave-bedroom-bath/7920593544.html,2,2,2,3,2,2,2,71.4,,,,,,Yes,,,No,No,No,,,Yes,No,Yes,Yes,50.0,81,47,86,71.8,45.5,D,50.0,$49.41,Feature-completeness gap,,
1,"2228 Lincoln Ave #K, Alameda, CA 94501",Alameda,CA,94501,K,apartment,2,1,,"$2,350",,https://sfbay.craigslist.org/eby/apa/d/oakland-2228-lincoln-ave-bedroom/7920593469.html,1,2,2,2,2,2,2,61.9,,,,,,,,,No,Yes,Yes,,,No,No,No,,33.3,94,51,80,78.3,35.7,D,66.7,$65.80,Review,,
1,"1501 Verdi St #B, Alameda, CA 94501",Alameda,CA,94501,B,apartment,2,1,,"$2,600",,https://sfbay.craigslist.org/eby/apa/d/alameda-1501-verdi-st-bedroom-bath/7918826542.html,2,2,2,2,1,2,2,61.9,,,,,,Yes,,,No,Yes,Yes,,,No,No,No,Yes,50.0,88,49,77,74.1,42.0,D,50.0,$61.96,Review,,
1,"610 Santa Clara Ave #B, Alameda, CA 94501",Alameda,CA,94501,B,apartment,2,1,,"$2,750",,https://sfbay.craigslist.org/eby/apa/d/alameda-610-santa-clara-ave-bedroom-bath/7918412948.html,2,2,2,2,2,2,2,66.7,,,,,,,,,Yes,Yes,No,,,Yes,Yes,Yes,,83.3,91,49,85,77.2,56.3,C,16.7,$48.89,Review,,
1,"22160 Center Street, Castro Valley, CA 94546",Castro Valley,CA,94546,,apartment,2,1,900,"$2,524",$2.80,https://sfbay.craigslist.org/eby/apa/d/hayward-bed-dual-sink-vanities/7921834420.html,3,2,2,2,2,2,3,76.2,,,,2,66.7,Yes,,,No,Yes,Yes,,,No,Yes,Yes,Yes,75.0,71,38,42,55.3,58.7,C,25.0,$43.01,Review,,
