*,address_raw,city,state,zipcode,unit,property_type,bedrooms,bathrooms,sqft,rent,price_per_sqft,listing_url,K_Q_Overall,B_Q_Overall,Flooring_Q,Paint_Q,Lighting_Q,Window_Q,Appliance_Q,Quality_Score_100,K_Size_1_3,K_Layout,B_Size_1_3,B_Layout,Bath_Config_1_3,Storage_Level_1_3,Floorplan_Utility_1_3,Unit_Size_1_3_Auto,Size_Score_100,C_Balcony_Deck,C_Heating,C_AC,C_Washer_Dryer,C_Parking,C_Dishwasher,C_Microwave,C_Disposal,C_Hardwood,C_Updated_Kitchen,C_Updated_Bath,C_Outdoor_Space,Parking_Type,Parking_Score_100,Laundry_Type,Laundry_Score_100,Bath_Config_Type,Fireplace_Type,Fireplace_Bonus_100,Exterior_Amenities_1_3,Package_Lockers,Gym_Workout,Pool,Yard_Shared_Outdoor,Amenity_Bonus_Score_100,Completeness_Score_100,WalkScore,TransitScore,BikeScore,Location_Score_100,Market_Score,Market_Grade,Luxury_Gap,Rent_per_Score,Opportunity_Flag,Notes,description_text,lat,lng
1,"22160 Center Street, Castro Valley, CA 94546",Castro Valley,CA,94546,,apartment,2,1,977,"$2,655",$2.72,https://sfbay.craigslist.org/eby/apa/d/hayward-fireplace-entry-closet-large/7922184483.html,3,2,2,2,2,2,3,76.2,,,,,,,,2,66.7,Yes,Yes,,No,Yes,Yes,,,No,Yes,Yes,Yes,,,,,,,,,,,,,,,71,38,42,55.3,67.5,C,,$39.35,Review,,,37.688555,-122.062203
1,"4801 Shattuck Ave, Oakland, CA 94609",Oakland,CA,94609,,apartment,2,1,899,"$3,220",$3.58,https://sfbay.craigslist.org/eby/apa/d/oakland-ask-us-about-our-move-in/7921569718.html,3,3,3,3,3,3,3,100.0,,,,,,,,2,66.7,Yes,Yes,,Yes,Yes,Yes,,,No,Yes,Yes,Yes,,,,,,,,,,,,,,,98,68,93,88.0,86.5,A,,$37.23,Top-of-market comp,,,37.83531887683374,-122.26372666894622
1,"MLK, Berkeley, CA 94708",Berkeley,CA,94708,,apartment,2,1,,"$2,400",,https://sfbay.craigslist.org/eby/apa/d/berkeley-lovely-complex-near-all-north/7918492105.html,2,,2,2,2,2,2,66.7,,,,,,,,,,No,Yes,,No,Yes,No,,,Yes,Yes,,No,,,,,,,,,,,,,,,39,40,34,38.3,55.3,C,,$43.38,Review,,,37.888474493,-122.25994918
1,"4801 Shattuck Ave, Oakland, CA 94609",Oakland,CA,94609,,apartment,2,1,899,"$3,220",$3.58,https://sfbay.craigslist.org/eby/apa/d/oakland-ask-us-about-our-move-in/7921672431.html,3,3,3,3,3,3,3,100.0,,,,,,,,2,66.7,Yes,Yes,,Yes,Yes,Yes,,,No,Yes,Yes,Yes,,,,,,,,,,,,,,,98,68,93,88.0,86.5,A,,$37.23,Top-of-market comp,,,37.83531887683374,-122.26372666894622
1,"Rilea Way, Oakland, CA 94605",Oakland,CA,94605,,apartment,2,1,800,"$2,350",$2.94,https://sfbay.craigslist.org/eby/apa/d/oakland-oakland-hills-4plex-laundry/7920135486.html,2,2,1,1,2,2,2,57.1,,,,,,,,2,66.7,,Yes,,No,Yes,Yes,,,No,No,No,,,,,,,,,,,,,,,,29,27,18,26.2,51.5,D,,$45.67,Review,,,37.7714207,-122.1510289
1,"87th Ave, Oakland, CA 94621",Oakland,CA,94621,,apartment,2,1,900,"$2,495",$2.77,https://sfbay.craigslist.org/eby/apa/d/oakland-charming-updated-home-bright/7920139787.html,2,3,2,2,2,2,3,76.2,,,,,,,,2,66.7,Yes,Yes,,Yes,Yes,No,,,No,Yes,Yes,Yes,,,,,,,,,,,,,,,75,55,59,65.8,70.4,B,,$35.44,Review,,,37.7536601,-122.171616
1,"Prentiss St, Oakland, CA 94601",Oakland,CA,94601,,apartment,2,1,800,"$2,395",$2.99,https://sfbay.craigslist.org/eby/apa/d/oakland-refreshed-4plex-new-appliances/7920135633.html,2,2,2,2,2,2,3,71.4,,,,,,,,2,66.7,,Yes,,No,Yes,No,,,No,Yes,Yes,,,,,,,,,,,,,,,,80,55,59,68.3,69.1,C,,$34.66,Review,,,37.788383,-122.2187294
1,"84th, Oakland, CA 94621",Oakland,CA,94621,,apartment,2,1,,"$2,195",,https://sfbay.craigslist.org/eby/apa/d/oakland-completely-renovated-rear-unit/7920135370.html,2,2,3,2,2,2,2,71.4,,,,,,,,,,Yes,Yes,,No,Yes,No,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,71,56,62,64.7,68.7,C,,$31.93,Review,,,37.756013,-122.174518
1,"Berkeley way, Berkeley, CA 94701",Berkeley,CA,94701,,apartment,2,1,,"$3,100",,https://sfbay.craigslist.org/eby/apa/d/berkeley-north-berkeley-bd-bath/7920103071.html,2,2,2,1,3,2,3,71.4,,,,,,,,,,,Yes,,No,Yes,No,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,90,68,98,85.0,76.9,B,,$40.33,Review,,,37.8713472,-122.2817926
1,"Ridge Rd., Berkeley (Northside), CA 94709",Berkeley (Northside),CA,94709,,apartment,2,1,,"$3,875",,https://sfbay.craigslist.org/eby/apa/d/berkeley-quiet-oasis-charm-for-ucb/7920965306.html,2,2,2,2,2,2,2,66.7,,,,,,,,,,Yes,Yes,,No,,No,,,Yes,Yes,No,Yes,,,,,,,,,,,,,,,88,64,71,77.4,71.0,B,,$54.61,Review,,,37.8761078,-122.2597557
1,"Bonita, Berkeley, CA 94709",Berkeley,CA,94709,,apartment,2,1,600,"$2,750",$4.58,https://sfbay.craigslist.org/eby/apa/d/berkeley-north-berkeley-newly-remodeled/7921461317.html,2,2,2,2,2,1,2,61.9,,,,,,,,1,33.3,No,Yes,,No,,No,,,Yes,Yes,Yes,No,,,,,,,,,,,,,,,95,64,87,84.1,59.3,C,,$46.34,High-location / low-quality opportunity,,,37.879234,-122.266839
1,"2251 Clinton Avenue #D, Alameda, CA 94501",Alameda,CA,94501,D,apartment,2,1,1000,"$2,800",$2.80,https://sfbay.craigslist.org/eby/apa/d/alameda-garden-style-bedroom-centrally/7922545185.html,3,2,2,3,3,2,3,85.7,,,,,,,,3,100.0,Yes,Yes,,No,Yes,Yes,,,No,Yes,Yes,Yes,,,,,,,,,,,,,,,89,48,75,73.9,86.8,A,,$32.26,Top-of-market comp,,,37.7611454,-122.2480438
1,"spaulding, Berkeley, CA 94703",Berkeley,CA,94703,,apartment,2,1,,"$2,495",,https://sfbay.craigslist.org/eby/apa/d/berkeley-lovely-upper-unit-br-apartment/7922541917.html,2,2,2,1,2,2,1,57.1,,,,,,,,,,,Yes,,No,Yes,No,,,No,Yes,,,,,,,,,,,,,,,,,85,67,97,82.0,67.1,C,,$37.19,High-location / low-quality opportunity,,,37.8658907,-122.2804672
1,"1919 Manchester rd, San Leandro, CA 94587",San Leandro,CA,94587,r,apartment,2,1,1050,"$1,857",$1.77,https://sfbay.craigslist.org/eby/apa/d/san-leandro-affordable-housing/7922541372.html,2,2,2,2,2,2,2,66.7,,,,,,,,3,100.0,No,Yes,,No,Yes,No,,,No,No,Yes,No,,,,,,,,,,,,,,,58,49,27,49.1,72.0,B,,$25.80,Review,,,37.7057685,-122.1151605
1,"1919 Manchester rd, San Leandro, CA 94587",San Leandro,CA,94587,r,apartment,2,1,1050,"$1,910",$1.82,https://sfbay.craigslist.org/eby/apa/d/san-leandro-two-bedroom-two-bathroom/7922541139.html,2,2,2,2,2,2,2,66.7,,,,,,,,3,100.0,No,Yes,,No,Yes,No,,,No,No,Yes,No,,,,,,,,,,,,,,,58,49,27,49.1,72.0,B,,$26.54,Review,,,,
1,"22160 Center Street, Castro Valley, CA 94546",Castro Valley,CA,94546,,apartment,2,1,900,"$2,724",$3.03,https://sfbay.craigslist.org/eby/apa/d/hayward-private-balcony-patio-2bd-1ba/7922092581.html,3,3,3,3,2,3,3,95.2,,,,,,,,2,66.7,Yes,Yes,,No,Yes,Yes,,,No,Yes,Yes,Yes,,,,,,,,,,,,,,,71,38,42,55.3,75.4,B,,$36.12,Review,,,37.688555,-122.062203
1,"1195 Santa Ana Street, San Lorenzo, CA 94580",San Lorenzo,CA,94580,,apartment,2,1,829,"$2,325",$2.80,https://sfbay.craigslist.org/eby/apa/d/san-leandro-san-lorenzo-duplex-rental/7922531033.html,2,,2,2,2,2,2,66.7,,,,,,,,2,66.7,,Yes,,No,,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,78,57,53,66.7,66.7,C,,$34.87,Review,,,37.693677,-122.114434
1,"2020 Kittredge St, Berkeley, CA 94704",Berkeley,CA,94704,,apartment,2,1,,"$3,480",,https://sfbay.craigslist.org/eby/apa/d/berkeley-views-of-the-san-francisco-bay/7920818935.html,3,3,2,3,2,3,3,90.5,,,,,,,,,,Yes,Yes,,No,No,Yes,,,No,Yes,Yes,Yes,,,,,,,,,,,,,,,99,72,99,90.9,90.6,A,,$38.39,Top-of-market comp,,,37.8681572,-122.2698052
1,"2020 Kittredge St, Berkeley, CA 94704",Berkeley,CA,94704,,apartment,2,1,,"$3,480",,https://sfbay.craigslist.org/eby/apa/d/berkeley-wood-style-flooring-workspaces/7922522225.html,3,3,2,3,2,3,3,90.5,,,,,,,,,,Yes,Yes,,No,No,Yes,,,No,Yes,Yes,Yes,,,,,,,,,,,,,,,99,72,99,90.9,90.6,A,,$38.39,Top-of-market comp,,,37.8681572,-122.2698052
1,"2226 Channing Way Apt 5, Berkeley, CA 94704",Berkeley,CA,94704,5,apartment,2,1,,"$3,995",,https://sfbay.craigslist.org/eby/apa/d/berkeley-extra-large-two-bedroom-bath/7922516904.html,2,2,2,2,2,2,2,66.7,,,,,,,,,,,Yes,,Yes,No,No,,,No,No,Yes,,,,,,,,,,,,,,,,97,70,95,88.5,75.4,B,,$52.98,Review,,,37.866039,-122.264163
1,385 14th St,Oakland,CA,94606,,apartment,2,1,905,4012,,https://www.redfin.com/CA/Oakland/Atlas/apartment/168796063,3,2,3,3,3,3,3,95.2,2,,3,3,,,,2,83.3,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,83.3,100,89,90,94.7,89.4,A,16.7,$44.90,Top-of-market comp,,,37.80382929105813,-122.26959737297659
1,386 14th St,Oakland,CA,94606,,apartment,2,1,950,4132,,https://www.redfin.com/CA/Oakland/Atlas/apartment/168796063,3,3,3,3,3,3,3,100.0,2,,3,3,,,,2,83.3,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,83.3,100,89,90,94.7,90.8,A,16.7,$45.49,Top-of-market comp,,,37.8038346659047,-122.26961118554186
1,40 Harrison St,Oakland,CA,94607,,apartment,2,1,925,2940,,https://www.redfin.com/CA/Oakland/Channel-House/apartment/192202038,3,3,3,3,3,3,3,100.0,2,,3,2,,,,2,75.0,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,96,83,83,89.5,89.4,A,,$32.87,Top-of-market comp,,,37.7932883,-122.2728895
1,1311 Magnolia St Unit 1424320P,Oakland,CA,94607,,duplex,2,1,—,5066,,https://www.redfin.com/CA/Oakland/1311-Magnolia-St-94607/unit-1424320P/home/200382646,2,2,3,3,2,2,2,76.2,2,,3,2,,,,3,83.3,Yes,Yes,,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,,,,,,,,,,,,,,,77,72,98,79.7,79.3,B,,$63.85,Review,,,37.8094151,-122.2876625
1,5110 Telegraph Ave,Oakland,CA,94609,,apartment,2,1,1199,4541,,https://www.redfin.com/CA/Oakland/5110-Telegraph-Ave-94609/home/175926209,3,3,3,3,3,3,3,100.0,3,,3,3,,,,3,100.0,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,98,66,92,87.2,96.4,A,,$47.08,Top-of-market comp,,,37.8378618,-122.2618595
1,260 Brooklyn Basin Way,Oakland,CA,NA,,apartment,2,1,1011,3684,,https://www.redfin.com/CA/Oakland/260-Brooklyn-Basin-Way-94606/home/188567319,3,3,3,3,3,3,3,100.0,3,,3,3,,,,3,100.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,83.3,60,63,86,66.1,88.7,A,16.7,$41.53,Top-of-market comp,,,,
1,260 Brooklyn Basin Way,Oakland,CA,NA,,apartment,2,1,1175,4559,,https://www.redfin.com/CA/Oakland/260-Brooklyn-Basin-Way-94606/home/188567319,3,3,3,3,3,3,3,100.0,3,,3,3,,,,3,100.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,83.3,60,63,86,66.1,88.7,A,16.7,$51.39,Top-of-market comp,,,37.8044557,-122.271356
1,325 27th St,Oakland,CA,94612,,apartment,2,1,1229,3992,,https://www.redfin.com/CA/Oakland/Hanover-Broadway/apartment/177358266,3,3,3,3,3,3,3,100.0,2,,3,3,,,,3,91.7,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,97,73,97,89.8,94.6,A,,$42.19,Top-of-market comp,,,37.81518716206432,-122.26352083096751
1,325 27th St,Oakland,CA,94612,,apartment,2,1,1151,4130,,https://www.redfin.com/CA/Oakland/Hanover-Broadway/apartment/177358266,3,3,3,3,3,3,3,100.0,2,,3,3,,,,3,91.7,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,97,73,97,89.8,94.6,A,,$43.65,Top-of-market comp,,,37.81518716206432,-122.26352083096751
1,325 27th St,Oakland,CA,94612,,apartment,2,1,1229,4280,,https://www.redfin.com/CA/Oakland/Hanover-Broadway/apartment/177358266,3,3,3,3,3,3,3,100.0,2,,3,3,,,,3,91.7,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,97,73,97,89.8,94.6,A,,$45.23,Top-of-market comp,,,37.81518716206432,-122.26352083096751
1,2330 Webster St,Oakland,CA,94612,,apartment,2,1,968,3730,,https://www.redfin.com/CA/Oakland/2330-Webster-St-94612/home/175925682,3,3,3,3,3,3,3,100.0,2,,3,3,,,,2,83.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,100.0,99,78,97,92.3,94.6,A,0.0,$39.42,Top-of-market comp,,,37.81242022461214,-122.2650394897914
1,2330 Webster St,Oakland,CA,94612,,apartment,2,1,1042,3744,,https://www.redfin.com/CA/Oakland/2330-Webster-St-94612/home/175925682,3,3,3,3,3,3,3,100.0,2,,3,3,,,,3,91.7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,100.0,99,78,97,92.3,96.5,A,0.0,$38.79,Top-of-market comp,,,37.81242022461214,-122.2650394897914
1,2122 Lakeshore Ave,Oakland,CA,94606,,apartment,2,1,"1,500",3795,,https://www.redfin.com/CA/Oakland/2122-Lakeshore-Ave-94606/apartment/1188612,2,2,3,3,2,2,2,76.2,2,,2,3,,,,3,83.3,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,58.3,92,62,77,80.0,74.0,B,41.7,$51.29,Review,,,37.8046051,-122.2504779
1,3061 Adeline St Unit 3057,Berkeley,CA,94703,,apartment,2,1,—,3395,,https://www.redfin.com/CA/Berkeley/3061-Adeline-St-94703/unit-3057/home/200407877,2,2,3,3,2,3,3,85.7,3,,2,2,,,,3,83.3,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,No,Yes,,,,,,,,,,,,,,,95,62,98,85.7,85.0,B,,$39.95,Review,,,37.853145,-122.269271
1,1401 Jackson St,Oakland,CA,94612,,apartment,2,1,760,2845,,https://www.redfin.com/CA/Oakland/Jackson-Courtyard/apartment/177501374,3,3,3,3,2,3,3,95.2,2,,2,2,,,,2,66.7,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,98,87,92,93.5,86.0,A,,$33.07,Top-of-market comp,,,37.802168,-122.265281
1,1401 Jackson St,Oakland,CA,94612,,apartment,2,1,970,3095,,https://www.redfin.com/CA/Oakland/Jackson-Courtyard/apartment/177501374,3,3,3,3,2,3,3,95.2,2,,2,2,,,,2,66.7,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,98,87,92,93.5,86.0,A,,$35.98,Top-of-market comp,,,37.802168,-122.265281
1,219 9th Ave,Oakland,CA,94606,,apartment,2,1,915,2707,,https://www.redfin.com/CA/Oakland/Artizan/apartment/112885464,3,3,3,3,3,3,3,100.0,3,,3,3,,,,2,91.7,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,46,58,74,55.2,85.0,A,,$31.84,Top-of-market comp,,,37.78725859466563,-122.25701975990853
1,540 39th St,Oakland,CA,NA,,apartment,2,1,883,3295,,https://www.redfin.com/CA/Oakland/MacArthur-Commons/apartment/143116143,3,3,3,3,3,3,3,100.0,2,,2,3,,,,2,75.0,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,95,73,99,89.2,89.4,A,,$36.87,Top-of-market comp,,,37.8044557,-122.271356
1,4801 Shattuck Ave,Oakland,CA,94609,,apartment,2,1,834,3119,,https://www.redfin.com/CA/Oakland/4801-Shattuck-Ave-94609/apartment/143116208,3,3,3,3,3,3,3,100.0,3,,2,3,,,,2,83.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,91.7,98,68,93,88.0,91.6,A,8.3,$34.05,Top-of-market comp,,,37.83531887683374,-122.26372666894622
1,4801 Shattuck Ave,Oakland,CA,94609,,apartment,2,1,899,3220,,https://www.redfin.com/CA/Oakland/4801-Shattuck-Ave-94609/apartment/143116208,3,3,3,3,3,3,3,100.0,3,,2,3,,,,2,83.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,91.7,98,68,93,88.0,91.6,A,8.3,$35.15,Top-of-market comp,,,37.83531887683374,-122.26372666894622
1,1411 Alice St,Oakland,CA,94612,,apartment,2,1,777,2715,,https://www.redfin.com/CA/Oakland/Alice-House/apartment/172809958,3,3,3,3,3,3,3,100.0,2,,3,2,,,,2,75.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,91.7,99,88,91,94.1,91.0,A,8.3,$29.85,Top-of-market comp,,,37.80273532395777,-122.26642154384346
1,302 Newton Ave Unit 302,Oakland,CA,94606,,apartment,2,1,900,3300,,https://www.redfin.com/CA/Oakland/302-Newton-Ave-94606/unit-302/apartment/190826210,2,3,3,3,2,3,3,90.5,2,,3,2,,,,2,75.0,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,92,63,75,79.9,82.8,B,,$39.85,Review,,,37.801645055555554,-122.24858905555556
1,3920 Quigley St,Oakland,CA,94619,,apartment,2,1,850,3275,,https://www.redfin.com/CA/Oakland/3920-Quigley-St-94619/home/747484,3,3,3,3,,3,3,100.0,3,,3,3,,,,2,91.7,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,91,51,71,75.0,90.5,A,,$36.18,Top-of-market comp,,,37.7894771,-122.1992053
1,1126 Hampel St,Oakland,CA,94602,,apartment,2,1,"1,030",3100,,https://www.redfin.com/CA/Oakland/1126-Hampel-St-94602/home/1117583,2,2,2,3,3,3,2,81.0,3,,2,3,,,,3,91.7,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,81,54,52,67.1,80.4,B,,$38.57,Review,,,37.8075618,-122.225352
1,601 Oakland Ave,Oakland,CA,94611,,apartment,2,1,"1,081",3095,,https://www.redfin.com/CA/Oakland/601-Oakland-Ave-94611/apartment/1328398,2,2,2,3,2,3,2,76.2,2,,3,2,,,,3,83.3,Yes,Yes,No,Yes,,Yes,No,,Yes,Yes,Yes,No,,,,,,,,,,,,,,,88,53,68,73.5,77.6,B,,$39.87,Review,,,37.8206769,-122.2514699
1,1062 55th St Unit A,Oakland,CA,94608,,apartment,2,1,"1,100",2995,,https://www.redfin.com/CA/Oakland/1062-55th-St-94608/unit-A/apartment/200026044,3,3,3,3,2,2,3,90.5,3,,2,2,,,,3,83.3,No,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,93,60,98,84.1,86.5,A,,$34.62,Top-of-market comp,,,37.8387848,-122.2805981
1,1130 3rd Ave,Oakland,CA,94606,,apartment,2,1,900,2765,,https://www.redfin.com/CA/Oakland/ReNew-on-Merritt/apartment/180278653,3,3,3,3,2,3,3,95.2,2,,2,2,,,,2,66.7,Yes,Yes,Yes,No,,Yes,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,92,74,97,87.6,84.4,B,,$32.77,Review,,,37.79602880338699,-122.25704234088082
1,95 Linda Ave,Piedmont,CA,94611,,apartment,2,1,—,2895,,https://www.redfin.com/CA/Piedmont/95-Linda-Ave-94611/apartment/1242578,2,2,2,3,2,3,3,81.0,2,,2,2,,,,3,75.0,Yes,Yes,,No,,No,No,Yes,No,Yes,Yes,No,,,,,,,,,,,,,,,96,51,57,74.7,77.4,B,,$37.40,Review,,,37.8252227,-122.248618
1,2049 41st Ave,Oakland,CA,94601,,apartment,2,1,"1,200",2850,,https://www.redfin.com/CA/Oakland/2049-41st-Ave-94601/home/1727676,3,2,3,3,2,3,3,90.5,3,,3,3,,,,3,100.0,,Yes,No,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,83,60,59,71.3,88.1,A,,$32.36,Top-of-market comp,,,37.7785078,-122.2114641
2,1124 Hampel St,Oakland,CA,94602,,apartment,2,1,"1,030",3100,,https://www.redfin.com/CA/Oakland/1124-Hampel-St-94602/home/200355308,2,2,2,3,,2,3,77.8,2,,2,2,,,,3,75,Yes,Yes,No,Yes,Yes,Yes,,Yes,No,Yes,Yes,Yes,,,,,,,,,,,,,,,81,54,52,67.1,74.0,B,,$41.91,Review,,,37.807486828300675,-122.22538263726331
2,3101 Mabel St,Berkeley,CA,94702,,apartment,2,1,650,3050,,https://www.redfin.com/CA/Berkeley/3101-Mabel-St-94702/apartment/1526370,2,3,3,3,2,3,3,90.5,2,,2,3,,,,1,66.7,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,83.3,89,60,90,80.5,81.2,B,16.7,$37.57,Review,,,37.850873,-122.283011
2,3205 California St Apt D,Berkeley,CA,94703,,apartment,2,1,750,2895,,https://www.redfin.com/CA/Berkeley/3205-California-St-94703/unit-D/home/200381237,2,2,2,2,3,2,3,76.2,2,,2,2,,,,2,66.7,No,Yes,,No,,No,No,,No,Yes,Yes,No,,,,,,,,,,,,,,,92,62,97,84.0,75.4,B,,$38.37,Review,,,37.849633,-122.2758667
2,257 Athol Ave Unit 6,Oakland,CA,94606,,apartment,2,1,600,2850,,https://www.redfin.com/CA/Oakland/257-Athol-Ave-94606/unit-6/apartment/196344785,2,2,2,3,2,2,3,76.2,2,,2,2,,,,1,58.3,No,Yes,No,No,,Yes,No,,No,Yes,Yes,No,,,,,,,,,,,,,,,91,64,82,81.1,72.1,B,,$39.53,Review,,,37.801292,-122.2498595
2,528 Merritt Ave Unit 208 LU,Oakland,CA,94610,,apartment,2,1,"1,063",2850,,https://www.redfin.com/CA/Oakland/528-Merritt-Ave-94610/unit-208-LU/apartment/200871853,2,2,,3,3,2,,80.0,2,,2,2,,,,3,75.0,Yes,Yes,,No,Yes,No,No,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,95,58,71,79.1,78.2,B,,$36.43,Review,,,37.8071748,-122.2471897
2,245 Lee St,Oakland,CA,94610,,apartment,2,1,700,2488,,https://www.redfin.com/CA/Oakland/Lee-Haus/apartment/1909856,2,2,2,3,2,2,3,76.2,2,,2,2,,,,2,66.7,No,Yes,Yes,No,Yes,Yes,Yes,Yes,,Yes,Yes,No,,,,,,,,,,,,,,,91,67,86,82.8,75.1,B,,$33.12,Review,,,37.8131848,-122.2582179
2,671 Vernon St,Oakland,CA,94610,,apartment,2,1,756,2650,,https://www.redfin.com/CA/Oakland/671-Vernon-St-94610/apartment/526408,2,2,2,3,2,2,2,71.4,2,,2,,,,,2,66.7,No,Yes,No,No,,No,No,,No,No,Yes,No,,,,,,,,,,,,,,,85,53,60,70.4,69.7,C,,$38.03,Review,,,37.820191,-122.248705
2,401 Derby Ave,Oakland,CA,94601,,apartment,2,1,962,2631,,https://www.redfin.com/CA/Oakland/401-Derby-Ave-94601/apartment/143116385,3,3,3,3,3,3,3,100.0,3,,2,3,,,,2,83.3,No,Yes,Yes,Yes,Yes,Yes,Yes,,No,Yes,Yes,No,,,,,,,,,,,,,,,85,68,89,80.7,89.5,A,,$29.38,Top-of-market comp,,,37.7718832,-122.2323457
2,1801 Jefferson St,Oakland,CA,94612,,apartment,2,1,874,2780,,https://www.redfin.com/CA/Oakland/Bell-Uptown-District/apartment/112885465,3,3,2,3,3,2,3,90.5,2,,3,3,,,,2,83.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,,,,,,,,,,,,97,84,95,92.7,88.9,A,,$31.27,Top-of-market comp,,,37.80834,-122.273307
2,3567 Davis St,Oakland,CA,94601,,apartment,2,1,800,2800,,https://www.redfin.com/CA/Oakland/3567-Davis-St-94601/home/1041098,2,2,2,2,2,2,3,71.4,2,,2,2,,,,2,66.7,No,Yes,No,Yes,,Yes,Yes,Yes,No,Yes,Yes,,,,,,,,,,,,,,,,70,54,54,62.0,67.4,C,,$41.57,Review,,,37.7848768,-122.2129834
2,225 Clifton St,Oakland,CA,94618,,apartment,2,1,900,2800,,https://www.redfin.com/CA/Oakland/The-Clifton/apartment/112885369,2,2,2,3,2,2,3,76.2,2,,2,2,,,,2,66.7,Yes,Yes,,No,,No,No,,No,Yes,Yes,Yes,,,,,,,,,,,,,,,93,59,54,75.0,72.9,B,,$38.38,Review,,,37.8355568,-122.2499046
2,1220 Haskell St Unit A,Berkeley,CA,94702,,apartment,2,1,900,2800,,https://www.redfin.com/CA/Berkeley/1220-Haskell-St-94702/unit-A/home/196811450,2,2,2,2,2,2,2,66.7,2,,2,2,,,,2,66.7,,Yes,No,No,Yes,No,No,,No,Yes,,,,,,,,,,,,,,,,,91,59,90,81.2,70.7,B,,$39.60,Review,,,37.850536,-122.284995
2,1431 Linden St Unit B LU,Oakland,CA,94607,,apartment,2,1,—,2800,,https://www.redfin.com/CA/Oakland/1431-Linden-St-94607/unit-B-LU/apartment/201403119,2,2,2,2,2,2,2,66.7,3,,3,2,,,,3,91.7,Yes,Yes,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,83,51,45,65.8,74.1,B,,$37.80,Review,,,,
2,425 Van Dyke Ave,Oakland,CA,94606,,apartment,2,1,"1,000",2750,,https://www.redfin.com/CA/Oakland/Van-Dyke-Apartments/apartment/1096025,2,2,3,2,2,2,2,71.4,3,,2,2,,,,3,83.3,Yes,Yes,No,No,Yes,Yes,No,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,88,60,65,75.0,76.1,B,,$36.16,Review,,,37.8022754,-122.2453458
