*,address_raw,city,state,zipcode,unit,property_type,bedrooms,bathrooms,sqft,rent,price_per_sqft,listing_url,K_Q_Overall,B_Q_Overall,Flooring_Q,Paint_Q,Lighting_Q,Window_Q,Appliance_Q,Quality_Score_100,K_Size_1_3,K_Layout,B_Size_1_3,B_Layout,Bath_Config_1_3,Storage_Level_1_3,Floorplan_Utility_1_3,Unit_Size_1_3_Auto,Size_Score_100,C_Balcony_Deck,C_Heating,C_AC,C_Washer_Dryer,C_Parking,C_Dishwasher,C_Microwave,C_Disposal,C_Hardwood,C_Updated_Kitchen,C_Updated_Bath,C_Outdoor_Space,Parking_Type,Parking_Score_100,Laundry_Type,Laundry_Score_100,Bath_Config_Type,Fireplace_Type,Fireplace_Bonus_100,Exterior_Amenities_1_3,Package_Lockers,Gym_Workout,Pool,Yard_Shared_Outdoor,Amenity_Bonus_Score_100,Completeness_Score_100,WalkScore,TransitScore,BikeScore,Location_Score_100,Market_Score,Market_Grade,Luxury_Gap,Rent_per_Score,Opportunity_Flag,Notes,description_text,lat,lng
1,"101 Crolls Garden ct., alameda, CA 94501",Alameda,CA,94501,,apartment,2,1,900,"$2,550",$2.83,https://sfbay.craigslist.org/eby/apa/d/alameda-105-crolls-garden-ct/7922143614.html,1,2,1,1,2,2,2,52.4,,,,,,,,2,66.7,Yes,Yes,,No,Yes,No,,,No,No,No,Yes,,,,,,,,,,,,,,,89,48,87,76.3,63.4,C,,$40.23,High-location / low-quality opportunity,,,37.769572,-122.274837
1,"Walker Avenue, Oakland, CA 94610",Oakland,CA,94610,,apartment,2,1,975,"$2,895",$2.97,https://sfbay.craigslist.org/eby/apa/d/oakland-piedmont-border-nice-2br-1ba/7921939113.html,2,2,3,2,2,2,2,71.4,,,,,,,,2,66.7,Yes,Yes,,No,No,Yes,,,Yes,No,No,Yes,,,,,,,,,,,,,,,97,52,67,77.5,71.7,B,,$40.40,Review,,,37.8142773,-122.2451774
1,"609 23rd st, Oakland, CA 94612",Oakland,CA,94612,,apartment,2,1,1000,"$2,200",$2.20,https://sfbay.craigslist.org/eby/apa/d/oakland-bedroom-bath/7922796935.html,2,2,2,3,3,2,2,76.2,,,,,,,,3,100.0,,Yes,,No,,No,,,No,Yes,Yes,,,,,,,,,,,,,,,,96,78,97,90.8,87.5,A,,$25.14,Top-of-market comp,,,37.812908,-122.271806
1,"9316 Oscar Ave, Oakland, CA 94603",Oakland,CA,94603,,apartment,2,1,700,"$2,000",$2.86,https://sfbay.craigslist.org/eby/apa/d/oakland-2bd-1ba-apt-remodeled-kitchen/7922796392.html,1,2,2,1,2,1,1,47.6,,,,,,,,2,66.7,,Yes,,No,,No,,,No,No,No,,,,,,,,,,,,,,,,67,44,60,58.7,56.5,C,,$35.39,Review,,,37.73921809752602,-122.18677145297983
1,"1537 63rd Street, Berkeley, CA 94703",Berkeley,CA,94703,,apartment,2,1,970,"$2,875",$2.96,https://sfbay.craigslist.org/eby/apa/d/oakland-large-two-bedroom-one-bath/7921775493.html,2,2,2,3,2,2,2,71.4,,,,,,,,2,66.7,,Yes,,Yes,Yes,No,,,No,Yes,Yes,,,,,,,,,,,,,,,,92,62,97,84.0,73.5,B,,$39.13,Review,,,37.8474269,-122.2760741
1,"22160 Center Street, Castro Valley, CA 94546",Castro Valley,CA,94546,,apartment,2,1,977,"$2,655",$2.72,https://sfbay.craigslist.org/eby/apa/d/hayward-dog-park-bd-ba-located-in/7921958093.html,3,3,2,3,2,2,3,85.7,,,,,,,,2,66.7,,Yes,,No,,Yes,,,No,Yes,Yes,,,,,,,,,,,,,,,,71,38,42,55.3,71.4,B,,$37.16,Review,,,37.688555,-122.062203
1,"1211 Lincoln Ave #B, Alameda, CA 94501",Alameda,CA,94501,B,apartment,2,1,,"$2,650",,https://sfbay.craigslist.org/eby/apa/d/alameda-1211-lincoln-ave-bedroom-bath/7921043552.html,3,2,2,3,3,1,2,76.2,,,,,,,,,,Yes,Yes,,Yes,No,Yes,,,No,Yes,Yes,Yes,,,,,,,,,,,,,,,82,48,81,71.6,74.4,B,,$35.64,Review,,,,
1,"2134 Clinton Ave, Alameda, CA 94501",Alameda,CA,94501,,apartment,2,1,,"$2,950",,https://sfbay.craigslist.org/eby/apa/d/alameda-2134-clinton-ave-bedroom/7921072842.html,2,2,3,3,2,2,2,76.2,,,,,,,,,,Yes,Yes,,Yes,Yes,Yes,,,Yes,No,No,Yes,,,,,,,,,,,,,,,80,48,70,68.4,73.1,B,,$40.37,Review,,,37.7620855,-122.2515017
1,"528 Merritt Ave #208, Oakland, CA 94610",Oakland,CA,94610,208,apartment,2,1,,"$2,850",,https://sfbay.craigslist.org/eby/apa/d/oakland-528-merritt-ave-bedroom-bath/7920834471.html,2,2,2,3,3,2,,77.8,,,,,,,,,,No,Yes,,No,Yes,,,,No,,Yes,No,,,,,,,,,,,,,,,95,58,71,79.1,78.3,B,,$36.40,Review,,,37.8071748,-122.2471897
1,"1517 Willow St, Alameda, CA 94501",Alameda,CA,94501,,apartment,2,1,,"$2,800",,https://sfbay.craigslist.org/eby/apa/d/oakland-1517-willow-st-bedroom-bath/7920797790.html,2,1,2,2,1,2,2,57.1,,,,,,,,,,Yes,Yes,,Yes,Yes,No,,,Yes,No,No,Yes,,,,,,,,,,,,,,,91,50,77,75.9,64.6,C,,$43.31,High-location / low-quality opportunity,,,37.7690872,-122.2487897
